,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_
290,2013Ford Ecosport 1.5 DV5 MT Ambiente,Ford,4.95 Lakh*,2013,Dealer,"54,230 kms",First Owner,Diesel,Manual,Mileage22.7 kmpl,Engine1498 CC,Max Power89.84 bhp,Torque204Nm@ 2000-2750rpm,Wheel Size15,Seats5,
291,2012Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,2 Lakh*,2012,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1399 CC,Max Power67 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,
292,2014Ford Fiesta 1.5 TDCi Titanium,Ford,4.5 Lakh*,2014,Individual,"83,000 kms",Third Owner,Diesel,Manual,Mileage25.01 kmpl,Engine1498 CC,Max Power89.75 bhp,Torque204Nm@ 2000-2750rpm,Wheel SizeN/A,Seats5,
293,2011Ford Figo Diesel Titanium,Ford,1.85 Lakh*,2011,Individual,"1,30,000 kms",Third Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,
294,2016Ford EcoSport 1.5 TDCi Ambiente BSIV,Ford,6.25 Lakh*,2016,Dealer,"75,680 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size15,Seats5,
295,2016Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,7.25 Lakh*,2016,Dealer,"72,500 kms",First Owner,Diesel,Manual,Mileage22.7 kmpl,Engine1498 CC,Max Power89.84 bhp,Torque204Nm@ 2000-2750rpm,Wheel SizeN/A,Seats5,
296,2015Ford EcoSport 1.5 Ti VCT MT Trend BSIV,Ford,6.25 Lakh*,2015,Individual,"74,000 kms",First Owner,Petrol,Manual,Mileage15.85 kmpl,Engine1499 CC,Max Power110.4 bhp,Torque140Nm@ 4400rpm,Wheel Size15,Seats5,
297,2017Ford Figo Aspire 1.2 Ti-VCT Ambiente,Ford,4.99 Lakh*,2017,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Torque112Nm@ 4000rpm,Wheel Size14,Seats5,
298,2015Ford Figo Diesel LXI,Ford,3.2 Lakh*,2015,Individual,"1,10,000 kms",Third Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68.05 bhp,Torque160Nm@ 2000rpm,Wheel Size14,Seats5,
299,2009Ford Endeavour XLT TDCi 4X2 LTD,Ford,5 Lakh*,2009,Individual,"1,76,000 kms",First Owner,Diesel,Manual,Mileage10.9 kmpl,Engine2499 CC,Max Power143 bhp,"Torque33.7@ 1,800(kgm@ rpm)",Wheel SizeN/A,Seats7,
300,2012Ford Figo Diesel ZXI,Ford,2 Lakh*,2012,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,
