,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_
217,2016Hyundai Xcent 1.2 Kappa AT SX Option,hyundai,5.35 Lakh*,2016,Dealer,"16,400 kms",First Owner,Petrol,Automatic,Mileage16.9 kmpl,Engine1197 CC,Max Power82 bhp,Torque114Nm@ 4000rpm,Wheel SizeN/A,Seats5,
218,2014Hyundai i10 Magna,hyundai,3.15 Lakh*,2014,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,
219,2014Hyundai i10 Magna,hyundai,3.1 Lakh*,2014,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,
220,2016Hyundai Grand i10 1.2 Kappa Magna AT,hyundai,4.9 Lakh*,2016,Dealer,"38,573 kms",First Owner,Petrol,Automatic,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75nm@ 4000rpm,Wheel Size14,Seats5,
221,2019Hyundai Elite i20 Diesel Asta,hyundai,7.1 Lakh*,2019,Individual,"30,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.76 bhp,Torque219.66nm@ 1500-2750rpm,Wheel SizeN/A,Seats5,
222,2009Hyundai i10 Magna,hyundai,2 Lakh*,2009,Individual,"33,500 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,
223,2015Hyundai Verna 1.6 CRDi SX,hyundai,6.45 Lakh*,2015,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage23.9 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,
224,2015Hyundai EON Era Plus,hyundai,2.45 Lakh*,2015,Dealer,"50,123 kms",Second Owner,Petrol,Manual,Mileage21.1 kmpl,Engine814 CC,Max Power55.2 bhp,Torque74.5Nm@ 4000rpm,Wheel Size12,Seats5,
225,2008Hyundai i10 Magna(O) with Sun Roof,hyundai,1.91 Lakh*,2008,Dealer,"70,000 kms",First Owner,Petrol,Manual,Mileage16.0 kmpl,Engine1086 CC,Max Power66.7 bhp,"Torque10.1@ 2,800(kgm@ rpm)",Wheel SizeN/A,Seats5,
226,2018Hyundai Grand i10 1.2 Kappa Sportz BSIV,hyundai,5.6 Lakh*,2018,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75nm@ 4000rpm,Wheel Size14,Seats5,
227,2017Hyundai EON 1.0 Era Plus,hyundai,3.11 Lakh*,2017,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage20.3 kmpl,Engine998 CC,Max Power68.05 bhp,Torque94.14Nm@ 3500rpm,Wheel Size13,Seats5,
